Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),,,,,
Wed Nov 16 2022,17315,20002.14,0.6130928,0.6129766,0.4239216,0.4376411,0.4409792,0.1084,27.3,20,9.621398,800,103.1779,5.899569,5.021793651,50.92773438,33.12011719,-17.46761719,,,,,
Wed Nov 16 2022,23440,20001.06,0.6127511,0.6116219,0.4227338,0.4358081,0.4393387,0.0856,27.3,20,9.621398,800,103.1779,6.102497,5.023557377,50.80566406,32.42431641,-18.04134766,,,,,
Wed Nov 16 2022,29566,19998.34,0.6129527,0.6136548,0.4232559,0.4367277,0.4374836,0.0801,27.3,20,9.621398,800,103.1779,5.97215,5.028103175,52.27050781,33.12011719,-18.81039063,,,,,
Wed Nov 16 2022,35699,20000.6,0.6111267,0.6104419,0.4236539,0.4378878,0.4389874,0.0678,27.3,20,9.621398,800,103.1779,6.052807,5.026798319,52.27050781,34.04785156,-17.88265625,,,,,
Wed Nov 16 2022,41832,19998.37,0.6142472,0.6143704,0.4245824,0.4343185,0.4420866,0.0913,27.3,20,9.621398,800,103.1779,6.111085,5.025459016,51.53808594,33.12011719,-18.07796875,,,,,
Wed Nov 16 2022,47965,19996.35,0.6175774,0.6182275,0.4275902,0.4415173,0.4407825,0.0934,27.3,20,9.621398,800,103.1779,5.948603,5.036920635,52.51464844,33.35205078,-18.82259766,,,,,
Wed Nov 16 2022,54091,19997.83,0.6168771,0.6181793,0.4275586,0.4399767,0.4443983,0.0703,27.3,20,9.621398,800,103.1779,6.191616,5.026107438,52.75878906,34.04785156,-18.3709375,,,,,
Wed Nov 16 2022,60225,20000.12,0.6162342,0.6164995,0.4269359,0.4403525,0.4448613,0.0679,27.3,20,9.621398,800,103.1779,5.936841,5.020652893,51.66015625,33.35205078,-17.96810547,,,,,
Wed Nov 16 2022,66354,19998.34,0.614345,0.6146247,0.4231909,0.4355679,0.4405152,0.0861,27.2,20,9.621398,800,103.1779,6.084811,5.020025424,51.66015625,33.12011719,-18.20003906,,,,,
Wed Nov 16 2022,72495,20000.42,0.6139425,0.6133963,0.4246385,0.4382266,0.4400733,0.0827,27.2,20,9.621398,800,103.1779,5.973261,5.00910084,52.75878906,33.81591797,-18.60287109,,,,,
Wed Nov 16 2022,78621,19999.27,0.6120116,0.6124662,0.4242617,0.4364206,0.4409597,0.0988,27.2,20,9.621398,800,103.1779,6.384634,5.008833333,51.78222656,33.35205078,-18.09017578,,,,,
Wed Nov 16 2022,84746,19996.35,0.6117703,0.6121781,0.4212782,0.4336676,0.4378154,0.0756,27.2,20,9.621398,800,103.1779,5.925508,5.009761905,52.02636719,33.81591797,-17.87044922,,,,,
Wed Nov 16 2022,90881,19998.73,0.6109317,0.6115626,0.4254833,0.4376893,0.4391425,0.0927,27.1,20,9.621398,800,103.1779,5.886063,4.988380952,51.53808594,35.20751953,-15.99056641,,,,,
Wed Nov 16 2022,97018,19999.52,0.6117527,0.6113025,0.4224867,0.4345414,0.4395474,0.0682,27.1,20,9.621398,800,103.1779,5.948695,4.986777778,53.00292969,33.81591797,-18.84701172,,,,,
Wed Nov 16 2022,103151,19999.51,0.6106748,0.6101398,0.4224667,0.4345722,0.4384893,0.07,27,20,9.621398,800,103.1779,6.096206,4.989645161,52.88085938,35.20751953,-17.33333984,,,,,
Wed Nov 16 2022,109285,19998.34,0.6099303,0.6101918,0.422763,0.4347459,0.4370524,0.0857,27,20,9.621398,800,103.1779,6.117547,4.980653226,52.88085938,36.13525391,-16.40560547,,,,,
Wed Nov 16 2022,115425,20000.81,0.6093461,0.6088607,0.4212399,0.4335559,0.4374803,0.0891,27,20,9.621398,800,103.1779,6.21173,4.963104839,52.88085938,36.3671875,-16.17367188,,,,,
Wed Nov 16 2022,121554,19997.43,0.6095766,0.6104342,0.4227026,0.4357147,0.4394293,0.0692,26.9,20,9.621398,800,103.1779,6.092678,4.962198413,51.04980469,36.13525391,-14.57455078,,,,,
Wed Nov 16 2022,127683,19998.34,0.6098019,0.610067,0.4213561,0.4320621,0.4398165,0.0748,26.9,20,9.621398,800,103.1779,6.038412,4.951944444,53.85742188,37.06298828,-16.45443359,,,,,
Wed Nov 16 2022,133815,20000.33,0.6079726,0.6079049,0.424389,0.4361917,0.4391041,0.0991,26.8,20,9.621398,800,103.1779,5.978013,4.946166667,54.58984375,36.59912109,-17.65072266,,,,,
Wed Nov 16 2022,139947,20000.33,0.6088505,0.6086196,0.4202172,0.4327178,0.4374236,0.0825,26.8,20,9.621398,800,103.1779,6.09301,4.936230159,53.49121094,37.29492188,-15.85628906,,,,,
Wed Nov 16 2022,146085,19998.54,0.6095276,0.6089545,0.4209542,0.4331954,0.4368962,0.0791,26.7,20,9.621398,800,103.1779,6.137987,4.92210084,55.078125,37.75878906,-16.97933594,,,,,
Wed Nov 16 2022,152215,20000.46,0.6054968,0.6052697,0.4218559,0.4320289,0.4363853,0.0719,26.7,20,9.621398,800,103.1779,6.0808,4.903927419,55.32226563,39.15039063,-15.831875,,,,,
Wed Nov 16 2022,158354,19998.41,0.6073343,0.6077219,0.422441,0.4328848,0.4379496,0.0966,26.7,20,9.621398,800,103.1779,6.180859,4.89907563,55.32226563,38.45458984,-16.52767578,,,,,
Wed Nov 16 2022,164497,20000.33,0.6043463,0.6042411,0.4201127,0.4313934,0.437168,0.075,26.6,20,9.621398,800,103.1779,6.181633,4.886666667,55.56640625,39.61425781,-15.61214844,,,,,
Wed Nov 16 2022,170638,20002.32,0.6059555,0.6051705,0.4199824,0.4324857,0.4357716,0.1071,26.6,20,9.621398,800,103.1779,6.14784,4.876438017,55.20019531,39.84619141,-15.01400391,,,,,
Wed Nov 16 2022,176777,19992.36,0.6093393,0.6110435,0.4190147,0.4315347,0.4357868,0.104,26.6,20,9.621398,800,103.1779,6.116134,4.85915873,54.46777344,40.77392578,-13.35384766,,,,,
Wed Nov 16 2022,182912,20000.33,0.6072423,0.6069375,0.4183986,0.4326919,0.4351563,0.0906,26.5,20,9.621398,800,103.1779,6.293298,4.834206612,56.54296875,41.93359375,-14.269375,,,,,
Wed Nov 16 2022,189048,20002.24,0.6045485,0.6044615,0.4198146,0.4349705,0.4380852,0.1099,26.5,20,9.621398,800,103.1779,6.157117,4.816520661,56.90917969,43.55712891,-13.01205078,,,,,
Wed Nov 16 2022,195177,20000.33,0.6063831,0.6063567,0.420446,0.4327385,0.4364222,0.073,26.5,20,9.621398,800,103.1779,5.950476,4.804079365,58.25195313,44.02099609,-13.89095703,,,,,
Wed Nov 16 2022,201301,19998.34,0.6066818,0.6070635,0.4194189,0.4324118,0.4369069,0.1056,26.5,20,9.621398,800,103.1779,6.11518,4.79002521,58.12988281,43.55712891,-14.23275391,,,,,
Wed Nov 16 2022,207435,19998.34,0.6053433,0.6055474,0.4172132,0.430528,0.4348709,0.1072,26.5,20,9.621398,800,103.1779,6.251709,4.742132231,59.47265625,45.87646484,-13.25619141,,,,,
