Time,Time (ms),Motor speed (rpm),BLDC Q curent for monitoring,Filtered Q current (A),BLDC Ph A amps (abs) (A),BLDC Ph B amps (abs) (A),BLDC Ph C amps (abs) (A),Purge pressure (mHg),ivp purge temperature (C),Purge add flow rate (mlph),Purge add speed (rpm),Purge circulate flow rate (mlph),Purge circulate speed (rpm),BLDC watts (W),Flow (lpm),Input pressure (mmHg),Output pressure (mmHg),Net pressure (mmHg),,,,,
Tue Dec 06 2022,5481,16553.65,0.7068458,0.7269199,0.4312683,0.4314724,0.4350948,0.4106,26.6,20,9.621398,800,103.1779,4.456164,3.783714286,60.32714844,40.77392578,-19.37322266,,,,,
Tue Dec 06 2022,11609,19998.88,0.725625,0.7245117,0.5060139,0.5196964,0.5211565,0.3902,26.6,20,9.621398,800,103.1779,7.27181,4.373808,48.48632813,37.99072266,-10.31560547,,,,,
Tue Dec 06 2022,17292,19998.34,0.7234576,0.7234691,0.5022256,0.5158134,0.5191879,0.3992,26.6,20,9.621398,800,103.1779,7.140209,4.368887097,48.48632813,37.75878906,-10.54753906,,,,,
Tue Dec 06 2022,17746,19998.34,0.7234576,0.7234691,0.5022256,0.5158134,0.5191879,0.3992,26.6,20,9.621398,800,103.1779,7.140209,4.364547619,48.48632813,37.75878906,-10.54753906,,,,,
Tue Dec 06 2022,23425,19998.98,0.7222753,0.7222376,0.5019329,0.5162261,0.5161383,0.3821,26.6,20,9.621398,800,103.1779,7.250789,4.369613445,48.48632813,37.75878906,-10.54753906,,,,,
Tue Dec 06 2022,23879,19998.98,0.7222753,0.7222376,0.5019329,0.5162261,0.5161383,0.3821,26.6,20,9.621398,800,103.1779,7.250789,4.367746032,48.48632813,37.75878906,-10.54753906,,,,,
Tue Dec 06 2022,29560,19998.41,0.7210956,0.7215146,0.5005086,0.5126022,0.5162833,0.3783,26.6,20,9.621398,800,103.1779,7.283802,4.362595238,48.97460938,37.52685547,-11.26775391,,,,,
Tue Dec 06 2022,30015,20003.76,0.7193037,0.7186569,0.5045044,0.5151948,0.517203,0.3875,26.6,20,9.621398,800,103.1779,6.934498,4.366396694,47.99804688,37.75878906,-10.05925781,,,,,
Tue Dec 06 2022,35682,19998.34,0.719861,0.7203138,0.501693,0.5141129,0.516357,0.3688,26.5,20,9.621398,800,103.1779,7.347966,4.363944444,49.09667969,37.52685547,-11.38982422,,,,,
Tue Dec 06 2022,36159,20000.33,0.7182117,0.7182171,0.4988435,0.5107589,0.5135401,0.3807,26.6,20,9.621398,800,103.1779,6.91582,4.361198413,48.73046875,37.99072266,-10.55974609,,,,,
Tue Dec 06 2022,41812,19998.12,0.7196457,0.7198414,0.4985255,0.5115483,0.5147215,0.3599,26.5,20,9.621398,800,103.1779,7.141587,4.35547619,49.34082031,38.68652344,-10.47429688,,,,,
Tue Dec 06 2022,42294,19998.12,0.7196457,0.7198414,0.4985255,0.5115483,0.5147215,0.3599,26.5,20,9.621398,800,103.1779,7.141587,4.356444444,48.73046875,38.45458984,-10.09587891,,,,,
Tue Dec 06 2022,47951,19998.32,0.7186636,0.7191532,0.4964859,0.5094448,0.5117196,0.3696,26.5,20,9.621398,800,103.1779,7.213622,4.340936,48.73046875,38.68652344,-9.863945313,,,,,
Tue Dec 06 2022,48435,19998.32,0.7186636,0.7191532,0.4964859,0.5094448,0.5117196,0.3696,26.5,20,9.621398,800,103.1779,7.213622,4.339142857,49.34082031,39.15039063,-10.01042969,,,,,
Tue Dec 06 2022,54093,19999.93,0.7188557,0.7193037,0.5011843,0.5143136,0.5171024,0.3523,26.5,20,9.621398,800,103.1779,6.85124,4.335352,49.70703125,39.84619141,-9.680839844,,,,,
Tue Dec 06 2022,54577,20000.33,0.7177013,0.7172739,0.4978957,0.5124936,0.5146947,0.3667,26.5,20,9.621398,800,103.1779,7.231267,4.332833333,49.70703125,39.84619141,-9.680839844,,,,,
Tue Dec 06 2022,60217,19998.39,0.7186899,0.7181375,0.4991792,0.5134362,0.5167499,0.3491,26.5,20,9.621398,800,103.1779,7.092875,4.324041322,50.31738281,39.84619141,-10.29119141,,,,,
Tue Dec 06 2022,60699,19998.39,0.7186899,0.7181375,0.4991792,0.5134362,0.5167499,0.3491,26.5,20,9.621398,800,103.1779,7.092875,4.319571429,50.31738281,39.38232422,-10.75505859,,,,,
Tue Dec 06 2022,66341,19998.34,0.7180284,0.7182503,0.4951257,0.5075783,0.5117348,0.3601,26.5,20,9.621398,800,103.1779,7.046542,4.306016949,50.56152344,40.078125,-10.30339844,,,,,
Tue Dec 06 2022,66828,19998.34,0.7180284,0.7182503,0.4951257,0.5075783,0.5117348,0.3601,26.5,20,9.621398,800,103.1779,7.046542,4.30905,50.56152344,40.078125,-10.30339844,,,,,
Tue Dec 06 2022,72483,20002.32,0.7148784,0.7147439,0.499674,0.5127329,0.51568,0.3475,26.4,20,9.621398,800,103.1779,6.828556,4.288769841,51.78222656,41.93359375,-9.668632813,,,,,
Tue Dec 06 2022,72966,20002.32,0.7148784,0.7147439,0.499674,0.5127329,0.51568,0.3475,26.4,20,9.621398,800,103.1779,6.828556,4.291579832,51.78222656,41.93359375,-9.668632813,,,,,
Tue Dec 06 2022,78611,19999.29,0.7150824,0.7155311,0.4959151,0.510222,0.5126773,0.356,26.4,20,9.621398,800,103.1779,7.043193,4.26781746,51.90429688,42.86132813,-8.86296875,,,,,
Tue Dec 06 2022,79096,19996.35,0.7148643,0.7155941,0.4963117,0.5105304,0.5148264,0.3458,26.4,20,9.621398,800,103.1779,7.042472,4.269111111,51.90429688,42.86132813,-8.86296875,,,,,
Tue Dec 06 2022,84748,19998.97,0.7150782,0.7154334,0.4954809,0.5098993,0.5119261,0.3541,26.4,20,9.621398,800,103.1779,7.156351,4.25287395,53.36914063,44.94873047,-8.240410156,,,,,
Tue Dec 06 2022,85232,19998.97,0.7150782,0.7154334,0.4954809,0.5098993,0.5119261,0.3541,26.4,20,9.621398,800,103.1779,7.156351,4.250349206,53.36914063,44.94873047,-8.240410156,,,,,
Tue Dec 06 2022,90875,19998.17,0.716679,0.716567,0.4985047,0.5103203,0.5129584,0.3455,26.4,20,9.621398,800,103.1779,7.511237,4.225344538,53.49121094,46.34033203,-6.970878906,,,,,
Tue Dec 06 2022,91373,19998.17,0.716679,0.716567,0.4985047,0.5103203,0.5129584,0.3455,26.4,20,9.621398,800,103.1779,7.511237,4.226579365,53.49121094,46.34033203,-6.970878906,,,,,
Tue Dec 06 2022,97016,19998.56,0.7158943,0.7160763,0.4971315,0.5091987,0.5118006,0.3612,26.4,20,9.621398,800,103.1779,7.304563,4.189280992,54.46777344,47.96386719,-6.32390625,,,,,
Tue Dec 06 2022,97518,19998.56,0.7158943,0.7160763,0.4971315,0.5091987,0.5118006,0.3612,26.4,20,9.621398,800,103.1779,7.304563,4.185365079,53.36914063,47.96386719,-5.225273438,,,,,
Tue Dec 06 2022,103144,20002.31,0.7141469,0.7141191,0.4970695,0.5094806,0.5143915,0.3603,26.4,20,9.621398,800,103.1779,7.444428,4.160285714,54.71191406,49.81933594,-4.712578125,,,,,
Tue Dec 06 2022,103649,20000.33,0.7146478,0.7146493,0.497256,0.5095614,0.5130867,0.3568,26.4,20,9.621398,800,103.1779,7.054236,4.160936508,56.29882813,48.89160156,-7.227226563,,,,,
Tue Dec 06 2022,109274,19998.34,0.7162925,0.7164195,0.4977604,0.5101339,0.513136,0.3406,26.4,20,9.621398,800,103.1779,7.258614,4.117553719,56.54296875,51.90673828,-4.456230469,,,,,
Tue Dec 06 2022,109774,19998.34,0.7162925,0.7164195,0.4977604,0.5101339,0.513136,0.3406,26.4,20,9.621398,800,103.1779,7.258614,4.115543307,56.66503906,52.60253906,-3.8825,,,,,
Tue Dec 06 2022,115417,20000.16,0.7144192,0.7141777,0.4968701,0.5105944,0.5124884,0.3609,26.3,20,9.621398,800,103.1779,7.050644,4.046471545,58.86230469,55.38574219,-3.2965625,,,,,
Tue Dec 06 2022,115904,20000.16,0.7144192,0.7141777,0.4968701,0.5105944,0.5124884,0.3609,26.3,20,9.621398,800,103.1779,7.050644,4.046592,58.984375,55.61767578,-3.186699219,,,,,
Tue Dec 06 2022,121546,20000.33,0.7155505,0.7157995,0.4964367,0.5111221,0.5126045,0.3447,26.3,20,9.621398,800,103.1779,7.120289,4.020404762,59.59472656,58.6328125,-0.781914063,,,,,
Tue Dec 06 2022,122045,20000.33,0.7155505,0.7157995,0.4964367,0.5111221,0.5126045,0.3447,26.3,20,9.621398,800,103.1779,7.120289,4.016291339,59.59472656,58.6328125,-0.781914063,,,,,
Tue Dec 06 2022,127675,19998.77,0.7149976,0.7147183,0.4958884,0.5099148,0.5132988,0.3597,26.3,20,9.621398,800,103.1779,7.210141,3.904730159,63.37890625,64.66308594,1.464179687,,,,,
Tue Dec 06 2022,128177,19998.77,0.7149976,0.7147183,0.4958884,0.5099148,0.5132988,0.3597,26.3,20,9.621398,800,103.1779,7.210141,3.903576271,63.37890625,64.66308594,1.464179687,,,,,
Tue Dec 06 2022,133809,19999.08,0.7147498,0.714847,0.4978749,0.5111135,0.5135202,0.3616,26.3,20,9.621398,800,103.1779,6.992795,3.813700787,66.43066406,70.46142578,4.210761719,,,,,
Tue Dec 06 2022,134309,19999.08,0.7147498,0.714847,0.4978749,0.5111135,0.5135202,0.3616,26.3,20,9.621398,800,103.1779,6.992795,3.812206349,66.43066406,70.46142578,4.210761719,,,,,
Tue Dec 06 2022,139936,19998.55,0.7164438,0.7166991,0.4956454,0.5100892,0.5126719,0.35,26.3,20,9.621398,800,103.1779,7.119742,3.657132231,71.31347656,77.1875,6.054023437,,,,,
Tue Dec 06 2022,140436,19998.55,0.7164438,0.7166991,0.4956454,0.5100892,0.5126719,0.35,26.3,20,9.621398,800,103.1779,7.119742,3.658753968,71.31347656,77.1875,6.054023437,,,,,
Tue Dec 06 2022,146062,20000.64,0.7156622,0.7159055,0.4967329,0.5108266,0.5150164,0.3626,26.3,20,9.621398,800,103.1779,7.085335,3.519007874,74.24316406,84.14550781,10.08234375,,,,,
Tue Dec 06 2022,146561,20000.64,0.7156622,0.7159055,0.4967329,0.5108266,0.5150164,0.3626,26.3,20,9.621398,800,103.1779,7.085335,3.518603175,73.99902344,84.14550781,10.32648438,,,,,
Tue Dec 06 2022,152189,19998.28,0.7169184,0.7166613,0.4947597,0.5090817,0.5099635,0.3701,26.2,20,9.621398,800,103.1779,7.325011,3.316690476,80.46875,93.42285156,13.13410156,,,,,
Tue Dec 06 2022,152687,20000.29,0.7160728,0.7163919,0.4998634,0.5120535,0.5150979,0.3708,26.2,20,9.621398,800,103.1779,7.358917,3.315775,80.46875,93.42285156,13.13410156,,,,,
Tue Dec 06 2022,158327,20000.13,0.719503,0.7193616,0.5008827,0.5134773,0.5181754,0.3745,26.2,20,9.621398,800,103.1779,7.367583,3.098396825,86.08398438,104.0917969,18.1878125,,,,,
Tue Dec 06 2022,158810,19998.16,0.7196299,0.7202148,0.4959492,0.5119863,0.5132562,0.3767,26.2,20,9.621398,800,103.1779,7.293309,3.097633333,86.08398438,104.0917969,18.1878125,,,,,
Tue Dec 06 2022,164467,20000.33,0.7252266,0.7250072,0.5027052,0.5151193,0.5181578,0.3734,26.2,20,9.621398,800,103.1779,7.487953,2.823047619,92.30957031,116.1523438,24.02277344,,,,,
Tue Dec 06 2022,164951,20000.33,0.7252266,0.7250072,0.5027052,0.5151193,0.5181578,0.3734,26.2,20,9.621398,800,103.1779,7.487953,2.820983193,93.1640625,116.3842773,23.40021484,,,,,
Tue Dec 06 2022,170608,20000.35,0.7272511,0.7273415,0.505712,0.5176292,0.5201182,0.3873,26.2,20,9.621398,800,103.1779,7.576092,2.525262295,99.14550781,129.3725586,30.40705078,,,,,
Tue Dec 06 2022,171091,20000.35,0.7272511,0.7273415,0.505712,0.5176292,0.5201182,0.3873,26.2,20,9.621398,800,103.1779,7.576092,2.524174603,99.14550781,129.140625,30.17511719,,,,,
Tue Dec 06 2022,176904,19999.98,0.7318807,0.7322199,0.5077985,0.5219746,0.5249066,0.3916,26.2,20,9.621398,800,103.1779,7.550015,2.17466129,99.14550781,142.3608398,43.39533203,,,,,
Tue Dec 06 2022,177594,19999.98,0.7318807,0.7322199,0.5077985,0.5219746,0.5249066,0.3916,26.2,20,9.621398,800,103.1779,7.550015,2.172865079,99.14550781,142.5927734,43.62726563,,,,,
Tue Dec 06 2022,183032,19998.34,0.7338281,0.7337719,0.5103632,0.5229778,0.5246131,0.3817,26.2,20,9.621398,800,103.1779,7.282606,1.6904,99.14550781,158.3642578,59.39875,,,,,
Tue Dec 06 2022,183728,20002.32,0.7340236,0.7334022,0.5091368,0.5216623,0.5238125,0.3949,26.2,20,9.621398,800,103.1779,7.613814,1.691738095,99.14550781,157.9003906,58.93488281,,,,,
Tue Dec 06 2022,189162,20002.32,0.7332328,0.7329214,0.5092436,0.5235441,0.5248794,0.396,26.2,20,9.621398,800,103.1779,7.261144,1.346598425,99.26757813,168.3374023,69.24982422,,,,,
Tue Dec 06 2022,189855,20000.69,0.734309,0.7343535,0.5114375,0.5226485,0.5251259,0.3872,26.2,20,9.621398,800,103.1779,7.481802,1.347626984,99.26757813,168.3374023,69.24982422,,,,,
Tue Dec 06 2022,195285,20002.32,0.7328556,0.7322589,0.509394,0.5227314,0.5252007,0.4096,26.2,20,9.621398,800,103.1779,7.397987,0.942261905,99.26757813,177.8466797,78.75910156,,,,,
Tue Dec 06 2022,195987,20002.32,0.7328556,0.7322589,0.509394,0.5227314,0.5252007,0.4096,26.2,20,9.621398,800,103.1779,7.397987,0.943603175,99.26757813,177.3828125,78.29523438,,,,,
